2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.000000,0.000000,0.000000,0.000000,0.002369,0.000000,0.001598,0.000000,0.000000,0.000000,0.002502,0.001307,0.000000,0.000000,0.000000,0.000000,0.002622,0.002131,0.000000,0.000000,0.000000,0.000000,0.002950,0.002664,0.000000,0.000000,0.000000,0.000000,0.000000
